510 > predicted='nucleus', actual='nucleus'
137 > predicted='mitochondria', actual='mitochondria'
452 > predicted='nucleus', actual='nucleus'
111 > predicted='plasma membrane', actual='plasma membrane'
8 > predicted='plasma membrane', actual='plasma membrane'
115 > predicted='nucleus', actual='nucleus'
477 > predicted='ER', actual='ER'
589 > predicted='nucleus', actual='nucleus'
779 > predicted='ER', actual='ER'
113 > predicted='plasma membrane', actual='plasma membrane'
786 > predicted='nucleus', actual='nucleus'
487 > predicted='nucleus', actual='nucleus'
97 > predicted='vacuole', actual='vacuole'
39 > predicted='nucleus', actual='nucleus'
234 > predicted='cytoplasm', actual='cytoplasm'
646 > predicted='cytoplasm', actual='cytoplasm'
479 > predicted='nucleus', actual='nucleus'
171 > predicted='mitochondria', actual='mitochondria'
127 > predicted='cytoplasm', actual='cytoplasm'
128 > predicted='nucleus', actual='nucleus'
270 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
286 > predicted='nucleus', actual='nucleus'
735 > predicted='nucleus', actual='nucleus'
426 > predicted='cytoplasm', actual='cytoplasm'
757 > predicted='cytoskeleton', actual='cytoskeleton'
273 > predicted='nucleus', actual='nucleus'
668 > predicted='plasma membrane', actual='plasma membrane'
86 > predicted='nucleus', actual='nucleus'
95 > predicted='nucleus', actual='nucleus'
430 > predicted='nucleus', actual='nucleus'
695 > predicted='ER', actual='ER'
196 > predicted='plasma membrane', actual='plasma membrane'
557 > predicted='nucleus', actual='nucleus'
738 > predicted='nucleus', actual='nucleus'
463 > predicted='nucleus', actual='nucleus'
15 > predicted='nucleus', actual='nucleus'
163 > predicted='cytoskeleton', actual='cytoskeleton'
311 > predicted='cytoplasm', actual='cytoplasm'
97 > predicted='vacuole', actual='vacuole'
538 > predicted='nucleus', actual='nucleus'
357 > predicted='cytoplasm', actual='cytoplasm'
270 > predicted='cytoplasm', actual='cytoplasm'
91 > predicted='nucleus', actual='nucleus'
67 > predicted='nucleus', actual='nucleus'
572 > predicted='vacuole', actual='vacuole'
669 > predicted='nucleus', actual='nucleus'
759 > predicted='nucleus', actual='peroxisome'
170 > predicted='plasma membrane', actual='plasma membrane'
207 > predicted='nucleus', actual='nucleus'
69 > predicted='nucleus', actual='nucleus'
123 > predicted='plasma membrane', actual='plasma membrane'
486 > predicted='nucleus', actual='nucleus'
599 > predicted='cytoplasm', actual='cytoplasm'
406 > predicted='nucleus', actual='nucleus'
83 > predicted='golgi', actual='golgi'
553 > predicted='nucleus', actual='nucleus'
780 > predicted='mitochondria', actual='mitochondria'
274 > predicted='nucleus', actual='nucleus'
247 > predicted='cytoskeleton', actual='cytoskeleton'
801 > predicted='cytoplasm', actual='cytoplasm'
627 > predicted='nucleus', actual='nucleus'
521 > predicted='nucleus', actual='nucleus'
203 > predicted='golgi', actual='golgi'
27 > predicted='cytoskeleton', actual='cytoskeleton'
247 > predicted='cytoskeleton', actual='cytoskeleton'
35 > predicted='cytoskeleton', actual='cytoskeleton'
185 > predicted='nucleus', actual='nucleus'
239 > predicted='nucleus', actual='nucleus'
803 > predicted='golgi', actual='golgi'
80 > predicted='plasma membrane', actual='plasma membrane'
819 > predicted='nucleus', actual='nucleus'
212 > predicted='plasma membrane', actual='plasma membrane'
450 > predicted='nucleus', actual='nucleus'
271 > predicted='nucleus', actual='nucleus'
164 > predicted='cytoplasm', actual='cytoplasm'
701 > predicted='cytoplasm', actual='cytoplasm'
545 > predicted='mitochondria', actual='mitochondria'
421 > predicted='cytoplasm', actual='cytoplasm'
160 > predicted='cytoplasm', actual='cytoplasm'
236 > predicted='cytoskeleton', actual='cytoskeleton'
499 > predicted='cytoskeleton', actual='cytoskeleton'
85 > predicted='cytoplasm', actual='cytoplasm'
82 > predicted='cytoskeleton', actual='cytoskeleton'
593 > predicted='mitochondria', actual='mitochondria'
90 > predicted='nucleus', actual='nucleus'
678 > predicted='nucleus', actual='cytoskeleton'
23 > predicted='vacuole', actual='vacuole'
379 > predicted='nucleus', actual='nucleus'
317 > predicted='nucleus', actual='nucleus'
395 > predicted='mitochondria', actual='mitochondria'
228 > predicted='nucleus', actual='nucleus'
507 > predicted='ER', actual='ER'
44 > predicted='plasma membrane', actual='plasma membrane'
14 > predicted='cytoplasm', actual='cytoplasm'
175 > predicted='plasma membrane', actual='plasma membrane'
39 > predicted='nucleus', actual='nucleus'
573 > predicted='nucleus', actual='nucleus'
431 > predicted='nucleus', actual='nucleus'
207 > predicted='nucleus', actual='nucleus'
571 > predicted='nucleus', actual='nucleus'
122 > predicted='cytoplasm', actual='cytoplasm'
222 > predicted='nucleus', actual='nucleus'
190 > predicted='plasma membrane', actual='plasma membrane'
331 > predicted='nucleus', actual='nucleus'
404 > predicted='nucleus', actual='nucleus'
334 > predicted='cytoskeleton', actual='cytoskeleton'
61 > predicted='mitochondria', actual='mitochondria'
535 > predicted='cytoplasm', actual='cytoplasm'
146 > predicted='nucleus', actual='nucleus'
223 > predicted='plasma membrane', actual='plasma membrane'
123 > predicted='plasma membrane', actual='plasma membrane'
123 > predicted='plasma membrane', actual='plasma membrane'
4 > predicted='cytoplasm', actual='cytoplasm'
672 > predicted='plasma membrane', actual='plasma membrane'
292 > predicted='ER', actual='ER'
426 > predicted='cytoplasm', actual='cytoplasm'
845 > predicted='cytoplasm', actual='cytoplasm'
27 > predicted='cytoskeleton', actual='cytoskeleton'
414 > predicted='nucleus', actual='nucleus'
832 > predicted='nucleus', actual='nucleus'
238 > predicted='nucleus', actual='nucleus'
832 > predicted='nucleus', actual='nucleus'
378 > predicted='nucleus', actual='nucleus'
731 > predicted='mitochondria', actual='mitochondria'
624 > predicted='cytoplasm', actual='cytoplasm'
650 > predicted='cytoskeleton', actual='cytoskeleton'
14 > predicted='cytoplasm', actual='cytoplasm'
58 > predicted='nucleus', actual='nucleus'
431 > predicted='nucleus', actual='nucleus'
154 > predicted='nucleus', actual='nucleus'
164 > predicted='cytoplasm', actual='cytoplasm'
570 > predicted='ER', actual='ER'
4 > predicted='cytoplasm', actual='cytoplasm'
320 > predicted='nucleus', actual='nucleus'
177 > predicted='cytoplasm', actual='cytoplasm'
547 > predicted='cytoskeleton', actual='cytoskeleton'
12 > predicted='mitochondria', actual='mitochondria'
54 > predicted='nucleus', actual='nucleus'
781 > predicted='cytoplasm', actual='cytoplasm'
58 > predicted='nucleus', actual='nucleus'
436 > predicted='nucleus', actual='nucleus'
670 > predicted='golgi', actual='golgi'
576 > predicted='mitochondria', actual='mitochondria'
79 > predicted='cytoplasm', actual='cytoplasm'
820 > predicted='mitochondria', actual='mitochondria'
725 > predicted='peroxisome', actual='peroxisome'
509 > predicted='cytoplasm', actual='cytoplasm'
4 > predicted='cytoplasm', actual='cytoplasm'
227 > predicted='plasma membrane', actual='plasma membrane'
225 > predicted='cytoplasm', actual='cytoplasm'
34 > predicted='nucleus', actual='nucleus'
59 > predicted='ER', actual='ER'
406 > predicted='nucleus', actual='nucleus'
490 > predicted='cytoplasm', actual='cytoplasm'
674 > predicted='ER', actual='ER'
547 > predicted='cytoskeleton', actual='cytoskeleton'
425 > predicted='transport vesicles', actual='transport vesicles'
129 > predicted='cytoplasm', actual='cytoplasm'
448 > predicted='cytoplasm', actual='cytoplasm'
690 > predicted='mitochondria', actual='mitochondria'
44 > predicted='plasma membrane', actual='plasma membrane'
122 > predicted='cytoplasm', actual='cytoplasm'
121 > predicted='nucleus', actual='nucleus'
90 > predicted='nucleus', actual='nucleus'
843 > predicted='plasma membrane', actual='plasma membrane'
646 > predicted='cytoplasm', actual='cytoplasm'
463 > predicted='nucleus', actual='nucleus'
659 > predicted='nucleus', actual='nucleus'
600 > predicted='cytoskeleton', actual='cytoskeleton'
743 > predicted='ER', actual='ER'
76 > predicted='nucleus', actual='nucleus'
550 > predicted='nucleus', actual='nucleus'
18 > predicted='plasma membrane', actual='plasma membrane'
174 > predicted='vacuole', actual='vacuole'
776 > predicted='ER', actual='ER'
9 > predicted='nucleus', actual='nucleus'
44 > predicted='plasma membrane', actual='plasma membrane'
195 > predicted='golgi', actual='golgi'
802 > predicted='cytoplasm', actual='cytoplasm'
532 > predicted='vacuole', actual='vacuole'
163 > predicted='cytoskeleton', actual='cytoskeleton'
45 > predicted='plasma membrane', actual='plasma membrane'
150 > predicted='nucleus', actual='peroxisome'
674 > predicted='ER', actual='ER'
227 > predicted='plasma membrane', actual='plasma membrane'
244 > predicted='nucleus', actual='nucleus'
218 > predicted='cytoplasm', actual='cytoplasm'
290 > predicted='nucleus', actual='nucleus'
392 > predicted='cytoplasm', actual='cytoplasm'
77 > predicted='cytoplasm', actual='cytoplasm'
139 > predicted='nucleus', actual='nucleus'
431 > predicted='nucleus', actual='nucleus'
666 > predicted='plasma membrane', actual='plasma membrane'
210 > predicted='nucleus', actual='nucleus'
756 > predicted='nucleus', actual='nucleus'
39 > predicted='nucleus', actual='nucleus'
550 > predicted='nucleus', actual='nucleus'
452 > predicted='nucleus', actual='nucleus'
620 > predicted='cytoskeleton', actual='cytoskeleton'
258 > predicted='cytoskeleton', actual='cytoskeleton'
89 > predicted='nucleus', actual='nucleus'
257 > predicted='nucleus', actual='nucleus'
807 > predicted='mitochondria', actual='mitochondria'
463 > predicted='nucleus', actual='nucleus'
817 > predicted='nucleus', actual='nucleus'
511 > predicted='nucleus', actual='nucleus'
509 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
547 > predicted='cytoskeleton', actual='cytoskeleton'
404 > predicted='nucleus', actual='nucleus'
440 > predicted='cytoplasm', actual='cytoplasm'
569 > predicted='ER', actual='ER'
720 > predicted='cytoplasm', actual='cytoplasm'
271 > predicted='nucleus', actual='nucleus'
737 > predicted='cytoplasm', actual='cytoplasm'
404 > predicted='nucleus', actual='nucleus'
40 > predicted='cytoplasm', actual='cytoplasm'
303 > predicted='cytoplasm', actual='cytoplasm'
208 > predicted='nucleus', actual='nucleus'
129 > predicted='cytoplasm', actual='cytoplasm'
382 > predicted='cytoplasm', actual='cytoplasm'
111 > predicted='plasma membrane', actual='plasma membrane'
12 > predicted='mitochondria', actual='mitochondria'
258 > predicted='cytoskeleton', actual='cytoskeleton'
732 > predicted='mitochondria', actual='mitochondria'
609 > predicted='ER', actual='ER'
821 > predicted='cytoplasm', actual='cytoplasm'
98 > predicted='nucleus', actual='nucleus'
557 > predicted='nucleus', actual='nucleus'
32 > predicted='nucleus', actual='nucleus'
154 > predicted='nucleus', actual='nucleus'
283 > predicted='cytoskeleton', actual='cytoskeleton'
173 > predicted='cytoplasm', actual='cytoplasm'
123 > predicted='plasma membrane', actual='plasma membrane'
670 > predicted='golgi', actual='golgi'
336 > predicted='nucleus', actual='nucleus'
98 > predicted='nucleus', actual='nucleus'
289 > predicted='mitochondria', actual='mitochondria'
749 > predicted='nucleus', actual='nucleus'
342 > predicted='nucleus', actual='nucleus'
171 > predicted='mitochondria', actual='mitochondria'
16 > predicted='nucleus', actual='nucleus'
419 > predicted='cytoplasm', actual='cytoplasm'
320 > predicted='nucleus', actual='nucleus'
211 > predicted='cytoplasm', actual='cytoplasm'
194 > predicted='ER', actual='ER'
2 > predicted='cytoskeleton', actual='cytoskeleton'
150 > predicted='nucleus', actual='peroxisome'
449 > predicted='nucleus', actual='nucleus'
44 > predicted='plasma membrane', actual='plasma membrane'
123 > predicted='plasma membrane', actual='plasma membrane'
787 > predicted='cytoplasm', actual='cytoplasm'
565 > predicted='nucleus', actual='nucleus'
